BUS_NODE_ID|BUS_NODE_NM|ARO_BUSSTOP_ID|ARO_NM|BUSSTOP_ID|BUSSTOP_NM|ETL_TYPE|ETL_DATE,,,
8001568|통계센터|32970|통계센터|3001161700|통계센터|0602|2019-12-30 02:43:03,,,
8001570|둔산여자고등학교|31930|둔산여자고등학교|3001161900|둔산여자고등학교|0602|2019-12-30 02:43:03,,,
8001572|둔산초등학교|31040|둔산초등학교|3001162100|둔산초등학교|0602|2019-12-30 02:43:03,,,
8001574|둥지아파트|32510|둥지아파트|3001162400|둥지아파트|0602|2019-12-30 02:43:03,,,
8001576|둥지아파트정문|32560|둥지아파트정문|3001162600|둥지아파트정문|0602|2019-12-30 02:43:03,,,
8001580|드리움아파트|40330|드리움아파트|3051802100|드리움아파트|0602|2019-12-30 02:43:03,,,
8002736|충대농대종점|42740|충대농대종점|3051289400|충대농대종점|0602|2019-12-30 02:43:03,,,
8002738|충대수의대|42580|충대수의대|3051289700|충대수의대|0602|2019-12-30 02:43:03,,,
8002740|대전보훈요양원|42550|대전보훈요양원|3051289900|대전보훈요양원|0602|2019-12-30 02:43:03,,,
8002742|충대서문|42540|충대서문|3051289600|충대서문|0602|2019-12-30 02:43:03,,,
8002502|장동종점|53100|장동종점|3061267500|장동종점|0602|2019-12-30 02:43:03,,,
8002504|장동지구산림욕장|52460|장동지구산림욕장|3061267700|장동지구산림욕장|0602|2019-12-30 02:43:03,,,
8002506|장동초등학교|52420|장동초등학교|3061267900|장동초등학교|0602|2019-12-30 02:43:03,,,
8002508|장미아파트|30940|장미아파트|3001268100|장미아파트|0602|2019-12-30 02:43:03,,,
8002512|장안동|34150|장안동|3001268300|장안동|0602|2019-12-30 02:43:03,,,
8002514|장안저수지|34220|장안저수지|3001268500|장안저수지|0602|2019-12-30 02:43:03,,,
8002516|장안동종점|34130|장안동종점|3001268700|장안동종점|0602|2019-12-30 02:43:03,,,
8002519|장척동|13710|장척동|3011269600|장척동|0602|2019-12-30 02:43:03,,,
8002521|장태산길곡길입구|34200|장태산길곡길입구|3001197500|장태산길곡길입구|0602|2019-12-30 02:43:03,,,
8002523|장태산자연휴양림|34170|장태산자연휴양림|3001251300|장태산자연휴양림|0602|2019-12-30 02:43:03,,,
8002525|장평보유원지|33740|장평보유원지|3001270000|장평보유원지|0602|2019-12-30 02:43:03,,,
8002527|은행선화동주민센터|20110|은행선화동주민센터|3021270200|은행선화동주민센터|0602|2019-12-30 02:43:03,,,
8002529|국립문화재연구소|44010|국립문화재연구소|3051270400|국립문화재연구소|0602|2019-12-30 02:43:03,,,
8002531|엑스포아파트|44220|엑스포아파트|3051270600|엑스포아파트|0602|2019-12-30 02:43:03,,,
8002533|태광산업중앙연구소|44200|태광산업중앙연구소|3051400900|태광산업중앙연구소|0602|2019-12-30 02:43:03,,,
8002536|전민동주민센터|44170|전민동주민센터|3051271200|전민동주민센터|0602|2019-12-30 02:43:03,,,
8002538|전원아파트|32780|전원아파트|3001271400|전원아파트|0602|2019-12-30 02:43:03,,,
8002540|전자디자인고|43560|전자디자인고|3051146700|전자디자인고|0602|2019-12-30 02:43:03,,,
8002542|정림동|30870|정림동|3001271700|정림동|0602|2019-12-30 02:43:03,,,
8002544|서부소방서|30910|서부소방서|3001271900|서부소방서|0602|2019-12-30 02:43:03,,,
8002546|가수원교|30800|가수원교|3001251700|가수원교|0602|2019-12-30 02:43:03,,,
8002548|정림중학교|34600|정림중학교|3021804200|정림중학교|0602|2019-12-30 02:43:03,,,
8002550|정림초등학교|30880|정림초등학교|3001272200|정림초등학교|0602|2019-12-30 02:43:03,,,
8002553|정부대전청사남문|32240|정부대전청사남문|3001272500|정부대전청사남문|0602|2019-12-30 02:43:03,,,
8002555|정부대전청사동문|32460|정부대전청사동문|3001272700|정부대전청사동문|0602|2019-12-30 02:43:03,,,
8002557|정부대전청사서문|32180|정부대전청사서문|3001272900|정부대전청사서문|0602|2019-12-30 02:43:03,,,
8002559|정부청사역|32210|정부청사역|3021999200|정부청사역|0602|2019-12-30 02:43:03,,,
8002561|정생1동|22830|정생1동|3021273100|정생1동|0602|2019-12-30 02:43:03,,,
8002563|정생2동|22900|정생2동|3021273300|정생2동|0602|2019-12-30 02:43:03,,,
